date_20,ccode,date_20,date_19,ratios,peak_2020,peak_2019,country,holiday,ISO,temp_19,temp_20,dates,adj_2020,adj_ratio,day_of_week
2021-01-04,GR,2021-01-04,2019-01-07,76.47729652989503,6572.0,8593.4,Greece,0,,4.4,15.8,2021-01-04,8817.377859785842,1.0260639397428075,Monday
2021-01-05,GR,2021-01-05,2019-01-08,68.82595239178919,6048.7,8788.4,Greece,0,,2.2,13.1,2021-01-05,8455.745576583311,0.9621484657711656,Tuesday
2021-01-06,GR,2021-01-06,2019-01-09,64.3484221932288,5819.8,9044.2,Greece,1,,8.6,13.7,2021-01-06,6798.5310366650365,0.7517006519830429,Wednesday
2021-01-07,GR,2021-01-07,2019-01-10,82.69202345174163,6713.6,8118.8,Greece,0,,13.3,14.5,2021-01-07,6892.163092920549,0.8489140135143801,Thursday
2021-01-08,GR,2021-01-08,2019-01-11,77.97186195866756,6240.4,8003.4,Greece,0,,11.7,16.3,2021-01-08,6908.831254067089,0.8632370310202025,Friday
2021-01-04,HR,2021-01-04,2019-01-07,86.63793103448275,2291.4,2644.8,Croatia,0,,0.7,6.1,2021-01-04,2493.5861818113144,0.9428259913079682,Monday
2021-01-05,HR,2021-01-05,2019-01-08,87.45753950671984,2368.7,2708.4,Croatia,0,,0.5,5.6,2021-01-05,2559.31213426032,0.9449535276400532,Tuesday
2021-01-06,HR,2021-01-06,2019-01-09,80.27919173222277,2081.8,2593.2,Croatia,1,,3.8,4.6,2021-01-06,2112.2603656679794,0.8145381635307649,Wednesday
2021-01-07,HR,2021-01-07,2019-01-10,91.87651699029124,2422.6,2636.8,Croatia,0,,2.6,2.9,2021-01-07,2433.9172227318522,0.92305719915498,Thursday
2021-01-08,HR,2021-01-08,2019-01-11,96.705170943484,2494.8,2579.8,Croatia,0,,1.8,2.7,2021-01-08,2528.4216566819564,0.9800843695953004,Friday
2021-01-04,HU,2021-01-04,2019-01-07,95.11687486508171,5838.25,6137.975,Hungary,0,,-4.4,5.8,2021-01-04,6281.702697411494,1.0234161425244472,Monday
2021-01-05,HU,2021-01-05,2019-01-08,93.3844415377352,6032.775,6460.15,Hungary,0,,-4.3,4.8,2021-01-05,6415.5337623757105,0.9930936220328804,Tuesday
2021-01-06,HU,2021-01-06,2019-01-09,97.64394582543221,6153.375,6301.85,Hungary,0,,-2.7,3.4,2021-01-06,6423.177020470153,1.0192526036751357,Wednesday
2021-01-07,HU,2021-01-07,2019-01-10,95.47582462202335,5996.025,6280.15,Hungary,0,,-1.8,1.9,2021-01-07,6157.185428941922,0.9804201219623608,Thursday
2021-01-08,HU,2021-01-08,2019-01-11,99.9116042429963,6244.775,6250.3,Hungary,0,,-1.8,0.7,2021-01-08,6346.092535724843,1.015326070064612,Friday
2021-01-04,Hokkaido,2021-01-04,2019-01-07,97.06076909507851,4401.9,4535.2,Hokkaido,0,,-9.1,,2021-01-04,,,Monday
2021-01-05,Hokkaido,2021-01-05,2019-01-08,101.00754549489568,4551.4,4506.0,Hokkaido,0,,-8.1,,2021-01-05,,,Tuesday
2021-01-06,Hokkaido,2021-01-06,2019-01-09,103.43047347326949,4567.8,4416.3,Hokkaido,0,,-1.8,,2021-01-06,,,Wednesday
2021-01-07,Hokkaido,2021-01-07,2019-01-10,121.18504925632605,5019.0,4141.6,Hokkaido,0,,-0.7,,2021-01-07,,,Thursday
2021-01-08,Hokkaido,2021-01-08,2019-01-11,108.05604580086954,5020.5,4646.2,Hokkaido,0,,-5.3,-15.3,2021-01-08,4424.436699840908,0.9522699625157997,Friday
